Criteri di selezione:date >= '2018-05-28'  and date <= '2018-06-04'  and (substr(product,1,11) <> 'AZZERAMENTO') and ((p.date || ' ' || substr('00' || cast(p.hour as text),-2,2)) >= substr(pc.order_start_date,1,13) and ((p.date || ' ' || substr('00' || cast(p.hour as text),-2,2))) <= substr(pc.order_end_date,1,13))
Tipo di aggregazione:G
posizione	product	articolo	op	qta	datehour	totalpieces
02	355321	PEL 355321	OP-2018-00138-001	73000	2018-05-28	28000
02	355321	PEL 355321	OP-2018-00138-001	73000	2018-05-29	20000
02	355321	PEL 355321	OP-2018-00138-001	73000	2018-05-30	12000
02	355321	PEL 355321	OP-2018-00138-001	73000	2018-05-31	14000
03	57575	PEL 57575	OP-2018-00092-001	15600	2018-05-28	0
03	57575	PEL 57575	OP-2018-00092-001	15600	2018-05-29	2
03	57575	PEL 57575	OP-2018-00092-001	15600	2018-05-30	5998
03	57575	PEL 57575	OP-2018-00092-001	15600	2018-05-31	12000
06	25510047	GGP 25510047	OP-2018-00101-001	26700	2018-05-28	1000
06	25510047	GGP 25510047	OP-2018-00101-001	26700	2018-05-29	7000
06	25510047	GGP 25510047	OP-2018-00101-001	26700	2018-05-30	6000
06	25510047	GGP 25510047	OP-2018-00101-001	26700	2018-05-31	4000
11	211391	FH 211391	OP-2018-00205-001	200000	2018-05-28	8000
11	211391	FH 211391	OP-2018-00205-001	200000	2018-05-29	6000
11	211391	FH 211391	OP-2018-00205-001	200000	2018-05-30	4000
11	211391	FH 211391	OP-2018-00205-001	200000	2018-05-31	6000
14	907/6	EX-6/7090	OP-2017-00394-001	200000	2018-05-28	4000
14	907/6	EX-6/7090	OP-2017-00394-001	200000	2018-05-29	4000
14	907/6	EX-6/7090	OP-2017-00394-001	200000	2018-05-30	3000
14	907/6	EX-6/7090	OP-2017-00394-001	200000	2018-05-31	1000
22	350263	MVS 22608.471	OP-2018-00056-001	40000	2018-05-28	2000
22	350263	MVS 22608.471	OP-2018-00056-001	40000	2018-05-29	0
22	350263	MVS 22608.471	OP-2018-00056-001	40000	2018-05-30	0
22	350263	MVS 22608.471	OP-2018-00056-001	40000	2018-05-31	0
23	212712	EX-217212	OP-2018-00055-001	350000	2018-05-28	8000
23	212712	EX-217212	OP-2018-00055-001	350000	2018-05-29	7000
23	212712	EX-217212	OP-2018-00055-001	350000	2018-05-30	5500
23	212712	EX-217212	OP-2018-00055-001	350000	2018-05-31	1500
25	1134-4185-01	EX-10-5814	OP-2018-00161-001	50000	2018-05-28	1
25	1134-4185-01	EX-10-5814	OP-2018-00161-001	50000	2018-05-29	5998
25	1134-4185-01	EX-10-5814	OP-2018-00161-001	50000	2018-05-30	8000
25	1134-4185-01	EX-10-5814	OP-2018-00161-001	50000	2018-05-31	10000
26	142204. L 203	EX-402241	OP-2018-00187-001	32000	2018-05-28	0
26	142204. L 203	EX-402241	OP-2018-00187-001	32000	2018-05-29	0
26	142204. L 203	EX-402241	OP-2018-00187-001	32000	2018-05-30	0
26	142204. L 203	EX-402241	OP-2018-00187-001	32000	2018-05-31	0
38	460318	PEL 460318	OP-2018-00146-001	6000	2018-05-28	610
38	460318	PEL 460318	OP-2018-00146-001	6000	2018-05-29	550
38	460318	PEL 460318	OP-2018-00146-001	6000	2018-05-30	530
38	460318	PEL 460318	OP-2018-00146-001	6000	2018-05-31	144
39	470084	PEL 470084	OP-2018-00087-001	3000	2018-05-28	699
39	470084	PEL 470084	OP-2018-00087-001	3000	2018-05-29	1200
39	470084	PEL 470084	OP-2018-00087-001	3000	2018-05-30	1100
39	470084	PEL 470084	OP-2018-00087-001	3000	2018-05-31	1000
40	355169	PEL 355169	OP-2017-00558-002	30000	2018-05-28	1029
40	355169	PEL 355169	OP-2017-00558-002	30000	2018-05-29	982
40	355169	PEL 355169	OP-2017-00558-002	30000	2018-05-30	1009
40	355169	PEL 355169	OP-2017-00558-002	30000	2018-05-31	261
42T	MP40142	EX-A_24104PM	OP-2018-00185-001	2000	2018-05-30	217
42T	MP40142	EX-A_24104PM	OP-2018-00185-001	2000	2018-05-31	141
44	3320062	SAR 3320062	OP-2018-00117-001	10000	2018-05-28	520
44	3320062	SAR 3320062	OP-2018-00117-001	10000	2018-05-29	498
44	3320062	SAR 3320062	OP-2018-00117-001	10000	2018-05-30	520
44	3320062	SAR 3320062	OP-2018-00117-001	10000	2018-05-31	160
48	WK007	EX-0070KW	OP-2017-00545-001	15000	2018-05-28	600
48	WK007	EX-0070KW	OP-2017-00545-001	15000	2018-05-29	1200
48	WK007	EX-0070KW	OP-2017-00545-001	15000	2018-05-30	300
48	WK007	EX-0070KW	OP-2017-00545-001	15000	2018-05-31	0
